Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.99590709,0.0136,0.7383,0.6705,0.9982,0.8021730688559957
zsclip_txt,maxlogit,0.878474255,0.9862,0.7383,0.5227,0.9954,0.6854562677030498
ft_pl_txt,msp_plthresh07,0.99397128,0.0326,0.7437,0.6846,0.9967,0.8116824124189614
ft_pl_txt,maxlogit_plthresh07,0.8541681400000001,0.9906,0.7442,0.5038,0.9791,0.6652782790478118
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.988773685,0.0573,0.7251,0.6589,0.9955,0.7929581117021278
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.98822291,0.092,0.7252,0.6929,0.9995,0.8184277357598675
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.9887419950000002,0.0566,0.7254,0.6596,0.9955,0.7934648057519182
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98804447,0.0934,0.7257,0.6933,0.9995,0.8187066989603025
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.935462575,0.3503,0.7237,0.6449,0.9387,0.7645461353877242
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.98429628,0.1072,0.7133,0.6741,0.9987,0.8049063486370158
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.966214945,0.167,0.7436,0.6819,0.9531,0.7950078165137615
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8190720899999999,0.9856,0.743,0.5014,0.9466,0.6555597237569061
