Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.98369249,0.09,0.7383,0.6597,0.9973,0.7941084007242003
zsclip_txt,maxlogit,0.8714917,0.8929,0.7383,0.5312,0.9839,0.6899183948254242
ft_pl_txt,msp_plthresh07,0.976183125,0.1383,0.7436,0.6701,0.9887,0.7988037979262117
ft_pl_txt,maxlogit_plthresh07,0.8618562249999999,0.9013,0.7439,0.5148,0.9826,0.6756277280619741
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.954527285,0.2684,0.7027,0.6176,0.9764,0.7566181179422836
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.981252285,0.1431,0.7095,0.6532,0.9971,0.7893179664303459
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.95566164,0.2608,0.7042,0.6181,0.9767,0.7570833584148482
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98089334,0.1441,0.7098,0.6518,0.997,0.7882637069383794
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.94880215,0.2962,0.7157,0.6324,0.9643,0.7638546001127324
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.964659395,0.1961,0.6911,0.631,0.9944,0.7720762889134982
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.94290745,0.2622,0.7429,0.6709,0.9303,0.7795881463902075
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.864058255,0.8846,0.7429,0.5171,0.9818,0.6774151444392555
