Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.9961027,0.0076,0.8628,0.8078,0.9974,0.8926431641923331
zsclip_txt,maxlogit,0.9307461150000002,0.7443399999999997,0.8628,0.6457,0.9976,0.7839716667680887
zsclip_txt,energy,0.8463024499999999,0.9997,0.8628,0.54,0.9988,0.7010033792565635
ft_pl_txt,msp_plthresh07,0.995175095,0.013,0.8664,0.8123,0.996,0.894819222474147
ft_pl_txt,maxlogit_plthresh07,0.927412495,0.7342,0.8655,0.6282,0.9971,0.7707847412785331
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.9635827,0.2332,0.8502,0.7782,0.9558,0.8579049134948097
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.98762017,0.1046,0.8488,0.8098,0.9989,0.8944647758058274
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.964396765,0.2236,0.8508,0.7794,0.954,0.8579065420560748
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98747417,0.1061,0.8492,0.8092,0.999,0.8941387014710763
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.98030603,0.1425,0.8412,0.777,0.9983,0.873856925590041
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.98064093,0.101,0.8646,0.8032,0.9744,0.8805558955895589
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.935388315,0.4882,0.8607,0.659,0.9885,0.7908000000000002
