Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.982116115,0.0949,0.8628,0.803,0.9647,0.8764542626011201
zsclip_txt,maxlogit,0.90606021,0.6472799999999997,0.8628,0.6456,0.9594,0.7718238504672896
zsclip_txt,energy,0.83399302,0.94875,0.8628,0.54,0.9682,0.6933138841002519
ft_pl_txt,msp_plthresh07,0.9801102000000002,0.1073,0.8664,0.8082,0.9545,0.8752787201452317
ft_pl_txt,maxlogit_plthresh07,0.8986773749999999,0.6665,0.8654,0.6286,0.9532,0.7575945378682514
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.964058515,0.2299,0.8454,0.7699,0.9589,0.8540688454419251
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.980093375,0.1285,0.8404,0.7661,0.9908,0.864080915248449
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.96425658,0.2315,0.8453,0.77,0.9598,0.8544872239565268
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.979742495,0.1316,0.8406,0.7637,0.9904,0.8624006385040762
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.96679847,0.2064,0.8467,0.7725,0.9561,0.8545496355432141
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.97875024,0.1245,0.8385,0.7413,0.9931,0.8489218519372693
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.96413339,0.2184,0.8627,0.797,0.9257,0.8565425204620654
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.905748855,0.5674,0.8611,0.6441,0.9446,0.7659304588657392
