Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.7641368949999999,0.9725,0.5088,0.3504,0.8951,0.5036419751103974,3,10,0.5,1,0,maxlogit
rosita_loss_txt,0.74115981,0.9999,0.4842,0.3195,0.963,0.4798105263157895,3,10,0.5,0,0,maxlogit
rosita_loss_cupl,0.77527666,0.9831,0.5014,0.3418,0.9596,0.504059136314738,3,10,0.5,1,0,maxlogit
rosita_loss_cupl,0.739261425,0.9996,0.4826,0.3056,0.9854,0.4665193493415956,3,10,0.5,0,0,maxlogit
rosita_knn_txt,0.958392705,0.328,0.4784,0.4234,0.9843,0.592104311998295,5,1,0.5,1,1,maxlogit
rosita_knn_txt,0.964771615,0.2126,0.4558,0.4146,0.9917,0.58473841996729,4,7,0.5,1,1,maxlogit
rosita_knn_txt,0.97081419,0.2005,0.4565,0.4164,0.9901,0.5862461997867047,4,5,0.5,1,1,maxlogit
rosita_knn_txt,0.969057925,0.2244,0.465,0.4215,0.9924,0.5916919159770846,4,3,0.5,1,1,maxlogit
rosita_knn_txt,0.954697545,0.2491,0.4568,0.4005,0.9685,0.5666680058436816,4,10,0.5,1,1,maxlogit
rosita_knn_txt,0.95780025,0.3272,0.4775,0.423,0.9837,0.5916046065259117,4,1,0.5,1,1,maxlogit
rosita_knn_txt,0.955453265,0.2433,0.4611,0.4102,0.9814,0.5785718309859155,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.961631915,0.2184,0.4563,0.4136,0.9905,0.5835350758492985,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.97029349,0.2067,0.4556,0.4129,0.9886,0.5825086550124866,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.95820275,0.3195,0.4782,0.4235,0.9818,0.5917488080836832,3,1,0.5,1,1,maxlogit
rosita_knn_txt,0.87484563,0.6497,0.4453,0.3573,0.9404,0.5178468367111042,2,7,0.5,1,1,maxlogit
rosita_knn_txt,0.961682175,0.2079,0.4572,0.4136,0.9789,0.5815052639138241,2,5,0.5,1,1,maxlogit
rosita_knn_txt,0.87354217,0.6801,0.4779,0.3788,0.9303,0.5383815445726072,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.876385675,0.628,0.4401,0.3589,0.9437,0.5200275295562721,2,10,0.5,1,1,maxlogit
rosita_knn_txt,0.943661965,0.3581,0.475,0.4157,0.9738,0.5826680964375675,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.8757861149999999,0.518,0.4165,0.3494,0.9533,0.5113733323098181,1,7,0.5,1,1,maxlogit
rosita_knn_txt,0.88431814,0.5286,0.4327,0.3632,0.9484,0.5252498932601403,1,5,0.5,1,1,maxlogit
rosita_knn_txt,0.8901678700000001,0.5274,0.4479,0.3715,0.9455,0.5334141989369781,1,3,0.5,1,1,maxlogit
rosita_knn_txt,0.87727532,0.4853,0.4148,0.3564,0.9544,0.5189932255111382,1,10,0.5,1,1,maxlogit
rosita_knn_txt,0.8590196050000001,0.6975,0.4792,0.3792,0.9101,0.535344636624525,1,1,0.5,1,1,maxlogit
