Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.73839158,0.9536,0.5109,0.3466,0.8687,0.4955013906031433,3,10,0.5,1,0,maxlogit
rosita_loss_txt,0.648004445,0.98,0.4842,0.32,0.7958,0.4564545617494175,3,10,0.5,0,0,maxlogit
rosita_loss_cupl,0.93422527,0.4256,0.5034,0.4053,0.9852,0.5743280258899677,3,10,0.5,1,0,maxlogit
rosita_loss_cupl,0.920070695,0.5086,0.4826,0.3791,0.9881,0.547964760093622,3,10,0.5,0,0,maxlogit
rosita_knn_txt,0.8419285700000001,0.6477,0.476,0.3624,0.9254,0.5208339183102966,5,1,0.5,1,1,maxlogit
rosita_knn_txt,0.85351307,0.589,0.4244,0.3352,0.9278,0.4924759461599367,4,7,0.5,1,1,maxlogit
rosita_knn_txt,0.841598665,0.6032,0.4153,0.3245,0.931,0.481257666268419,4,5,0.5,1,1,maxlogit
rosita_knn_txt,0.8483442550000001,0.6151,0.432,0.3406,0.9315,0.4988112569766528,4,3,0.5,1,1,maxlogit
rosita_knn_txt,0.8448418550000001,0.6416,0.4109,0.3221,0.9333,0.4789165684244066,4,10,0.5,1,1,maxlogit
rosita_knn_txt,0.83764141,0.6566,0.4737,0.3602,0.9277,0.5189184564018946,4,1,0.5,1,1,maxlogit
rosita_knn_txt,0.83509093,0.7174,0.4158,0.3301,0.9049,0.4837368259109311,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.8468067399999999,0.6376,0.4307,0.3374,0.9273,0.4947750770933818,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.8344754050000001,0.6521,0.4245,0.33,0.9298,0.4871154151452611,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.84117325,0.656,0.4735,0.3621,0.9244,0.5203657054022541,3,1,0.5,1,1,maxlogit
rosita_knn_txt,0.8394452299999999,0.6885,0.3965,0.3142,0.9116,0.4673270027736987,2,7,0.5,1,1,maxlogit
rosita_knn_txt,0.8260875299999999,0.7387,0.4007,0.3125,0.9166,0.4660930762346433,2,5,0.5,1,1,maxlogit
rosita_knn_txt,0.805637485,0.6883,0.4111,0.3103,0.9196,0.4640245223188877,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.8443905249999999,0.6716,0.3898,0.3102,0.9213,0.4641287210718635,2,10,0.5,1,1,maxlogit
rosita_knn_txt,0.8226801450000001,0.7053,0.4644,0.3531,0.9167,0.5098232320050402,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.8012557849999999,0.7304,0.3756,0.2935,0.8842,0.440711046955931,1,7,0.5,1,1,maxlogit
rosita_knn_txt,0.79538519,0.7356,0.3789,0.2912,0.894,0.4393061086736416,1,5,0.5,1,1,maxlogit
rosita_knn_txt,0.7941411599999999,0.7579,0.3864,0.2954,0.8881,0.4433371187156739,1,3,0.5,1,1,maxlogit
rosita_knn_txt,0.8054105699999999,0.7193,0.3734,0.2929,0.8873,0.4404171665819352,1,10,0.5,1,1,maxlogit
rosita_knn_txt,0.7911419000000001,0.789,0.4314,0.3214,0.8959,0.473083479832416,1,1,0.5,1,1,maxlogit
