Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.68695233,0.8165,0.509,0.3809,0.6605,0.4831658344536202,3,10,0.5,1,0,maxlogit
rosita_loss_txt,0.674879075,0.7959,0.4842,0.3354,0.6944,0.4523242571373081,3,10,0.5,0,0,maxlogit
rosita_loss_cupl,0.708159,0.7418,0.5002,0.3926,0.6475,0.4888154985097587,3,10,0.5,1,0,maxlogit
rosita_loss_cupl,0.7029810550000001,0.7415,0.4826,0.3787,0.6645,0.4824504409509202,3,10,0.5,0,0,maxlogit
rosita_knn_txt,0.70687619,0.7934,0.5079,0.3811,0.6796,0.4883483737154709,5,1,0.5,1,1,maxlogit
rosita_knn_txt,0.721147075,0.7705,0.5002,0.3808,0.6928,0.4914646795827124,4,7,0.5,1,1,maxlogit
rosita_knn_txt,0.7191832650000001,0.7767,0.5039,0.3822,0.6893,0.4917414092393841,4,5,0.5,1,1,maxlogit
rosita_knn_txt,0.71695594,0.7773,0.5049,0.382,0.6888,0.4914486365334329,4,3,0.5,1,1,maxlogit
rosita_knn_txt,0.7230379600000001,0.7647,0.4981,0.3827,0.6937,0.4932719992567818,4,10,0.5,1,1,maxlogit
rosita_knn_txt,0.7052497,0.7932,0.507,0.3888,0.6681,0.4915456145330684,4,1,0.5,1,1,maxlogit
rosita_knn_txt,0.7074055199999999,0.7927,0.4991,0.3824,0.6728,0.4876397270659591,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.708424045,0.7922,0.5016,0.3844,0.6714,0.4888921386626255,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.7090534100000001,0.7905,0.5039,0.3897,0.6693,0.4925896317280454,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.70396847,0.7956,0.5074,0.3902,0.6671,0.4923908446041803,3,1,0.5,1,1,maxlogit
rosita_knn_txt,0.7052413049999999,0.802,0.4906,0.3737,0.686,0.4838316504671132,2,7,0.5,1,1,maxlogit
rosita_knn_txt,0.7072695099999999,0.7963,0.4943,0.3799,0.6779,0.4869242011722443,2,5,0.5,1,1,maxlogit
rosita_knn_txt,0.701566525,0.8028,0.4987,0.3779,0.6726,0.4839134507377439,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.701414665,0.8025,0.4914,0.3741,0.6835,0.4835426437216339,2,10,0.5,1,1,maxlogit
rosita_knn_txt,0.69804221,0.8081,0.506,0.385,0.6626,0.4870198549064527,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.655561175,0.8512,0.4388,0.3151,0.6953,0.4336679136975455,1,7,0.5,1,1,maxlogit
rosita_knn_txt,0.6655139050000001,0.8384,0.4514,0.3259,0.6904,0.4427853192954836,1,5,0.5,1,1,maxlogit
rosita_knn_txt,0.6780603299999999,0.8185,0.4657,0.3425,0.6917,0.4581459098820344,1,3,0.5,1,1,maxlogit
rosita_knn_txt,0.649050835,0.8618,0.4327,0.3135,0.6857,0.4302781224979984,1,10,0.5,1,1,maxlogit
rosita_knn_txt,0.67813639,0.8293,0.4925,0.3672,0.6763,0.4759700239578342,1,1,0.5,1,1,maxlogit
