Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_txt,0.7030210699999999,0.8639,0.5016,0.3714,0.7017,0.4857168577019849,3,10,0.5,True,True,maxlogit
rosita_loss_txt,0.6902138,0.8702,0.5129,0.3675,0.6984,0.4815873909372361,3,10,0.5,1,0,maxlogit
rosita_loss_txt,0.63261086,0.9322,0.4842,0.3199,0.7061,0.4403146003898635,3,10,0.5,0,0,maxlogit
rosita_loss_cupl,0.70305187,0.8476,0.5025,0.3832,0.6819,0.4906658154163928,3,10,0.5,1,0,maxlogit
rosita_loss_cupl,0.6404507300000001,0.9441,0.4826,0.3183,0.7466,0.4463194290543713,3,10,0.5,0,0,maxlogit
rosita_knn_txt,0.6971014700000001,0.8628,0.5124,0.383,0.6698,0.4873354863221884,5,1,0.5,1,1,maxlogit
rosita_knn_txt,0.7032289749999999,0.8631,0.5047,0.3765,0.6857,0.4860968744115985,4,7,0.5,1,1,maxlogit
rosita_knn_txt,0.7036978899999999,0.8582,0.5067,0.3791,0.679,0.4865492864568566,4,5,0.5,1,1,maxlogit
rosita_knn_txt,0.703303125,0.8569,0.5094,0.3807,0.6717,0.4859676738882553,4,3,0.5,1,1,maxlogit
rosita_knn_txt,0.70353998,0.8609,0.5035,0.3742,0.6911,0.4855151037266497,4,10,0.5,1,1,maxlogit
rosita_knn_txt,0.6987923949999999,0.8611,0.5125,0.3831,0.6708,0.4876809564474807,4,1,0.5,1,1,maxlogit
rosita_knn_txt,0.703170055,0.8616,0.5027,0.3723,0.6979,0.4855693702111755,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.704015765,0.8582,0.5026,0.3745,0.6938,0.4864328372180099,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.70409633,0.856,0.5063,0.3764,0.6828,0.485283081570997,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.7004917250000001,0.8594,0.5109,0.3836,0.6672,0.4871296535972592,3,1,0.5,1,1,maxlogit
rosita_knn_txt,0.701067465,0.8637,0.494,0.366,0.7101,0.4830342904934486,2,7,0.5,1,1,maxlogit
rosita_knn_txt,0.70131803,0.864,0.4974,0.3666,0.7119,0.4839731849791376,2,5,0.5,1,1,maxlogit
rosita_knn_txt,0.70376993,0.8582,0.5007,0.3701,0.7051,0.485412034970238,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.7013344949999999,0.8619,0.4919,0.365,0.7052,0.4810278452625677,2,10,0.5,1,1,maxlogit
rosita_knn_txt,0.702613015,0.8575,0.5077,0.3777,0.6732,0.4839045389666001,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.598719475,0.9433,0.3823,0.2733,0.6687,0.3880163694267516,1,7,0.5,1,1,maxlogit
rosita_knn_txt,0.60912884,0.9355,0.3935,0.2819,0.6843,0.3993048437176568,1,5,0.5,1,1,maxlogit
rosita_knn_txt,0.62201214,0.9281,0.409,0.2939,0.6874,0.4117535106491389,1,3,0.5,1,1,maxlogit
rosita_knn_txt,0.5919240050000001,0.9488,0.3751,0.2682,0.6708,0.383191821086262,1,10,0.5,1,1,maxlogit
rosita_knn_txt,0.702757325,0.8562,0.4987,0.3705,0.7004,0.4846357269586329,1,1,0.5,1,1,maxlogit
