Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.825049345,0.7743,0.7385,0.5879,0.8608,0.6986461241112721
zsclip_txt,maxlogit,0.88700367,0.3879111111111109,0.7385,0.6758,0.7873,0.7273014011345773
zsclip_txt,energy,0.882120955,0.3988714285714285,0.7385,0.6577,0.787,0.7165638540873537
ft_pl_txt,msp_plthresh07,0.845316195,0.664,0.7729,0.6523,0.833,0.7316581162054803
ft_pl_txt,maxlogit_plthresh07,0.88041658,0.4166,0.7729,0.7187,0.7581,0.737874417659805
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.8371519250000001,0.6568,0.7654,0.6603,0.7825,0.7162250485167729
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.90335146,0.3611,0.7521,0.7005,0.7884,0.74185532943784
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.8374057500000001,0.65,0.7644,0.662,0.7818,0.7169297686660204
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.903212125,0.362,0.7537,0.7035,0.7854,0.7421974612129759
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.8389195950000001,0.6507,0.7661,0.6597,0.789,0.7185798301925864
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.893081235,0.3803,0.7668,0.7136,0.7666,0.739151141737603
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8390666100000002,0.6474,0.772,0.6705,0.7875,0.7243055555555555
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.84736809,0.5118,0.7691,0.6739,0.7375,0.7042670398186199
