Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.8242027550000001,0.7708,0.7385,0.589,0.8531,0.696866930171278
zsclip_txt,maxlogit,0.8256789600000001,0.6791999999999998,0.7385,0.6081,0.7945,0.6889140881220589
zsclip_txt,energy,0.8024358300000001,0.7151571428571427,0.7385,0.5783,0.7433,0.650499984866828
ft_pl_txt,msp_plthresh07,0.8364394099999999,0.718,0.7725,0.6489,0.81,0.7205552128315855
ft_pl_txt,maxlogit_plthresh07,0.822238865,0.6421,0.7703,0.6645,0.7284,0.694984277406849
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.81154647,0.7576,0.7589,0.6592,0.7249,0.6904906870890831
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.8100983100000001,0.7108,0.7589,0.6256,0.7679,0.6894843774668102
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.8119672,0.7501,0.76,0.6588,0.7258,0.6906789542106023
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.808452175,0.7133,0.7576,0.6189,0.7742,0.6878937334003302
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.815334745,0.7431,0.7641,0.6569,0.7401,0.6960224624194703
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.8187231099999999,0.6724,0.7654,0.6306,0.7643,0.6910424833321385
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8212891449999999,0.7336,0.7717,0.6643,0.7411,0.7006015796214601
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8261892000000001,0.626,0.7698,0.6475,0.7363,0.6890508021390374
