Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.978261145,0.095,0.8557,0.7888,0.9837,0.875534623413258
zsclip_txt,maxlogit,0.93561328,0.5321999999999997,0.8557,0.6735,0.9937,0.8028514275431862
zsclip_txt,energy,0.8937558250000001,0.973775,0.8557,0.5754,0.9984,0.7300538314906596
tpt_txt,tpt_maxlogit,0.935534805,0.5339,0.8473,0.6647,0.9939,0.7966300856143735
promptalign_txt,promptalign_maxlogit,0.935534805,0.5339,0.8553,0.6727,0.9939,0.8023479299171967
ft_pl_txt,msp_plthresh07,0.976132255,0.1117,0.86,0.7985,0.9729,0.8771148808851755
ft_pl_txt,maxlogit_plthresh07,0.948500735,0.3558,0.8595,0.6725,0.9953,0.8026612903225806
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.9641968,0.237,0.8483,0.7841,0.973,0.868395993398213
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.9890952,0.0795,0.8442,0.8195,0.9996,0.9006345995272387
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.96462524,0.2277,0.8484,0.7856,0.9706,0.8683559503473408
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98903167,0.0807,0.8441,0.8197,0.9995,0.9007147647317503
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.955012395,0.255,0.8583,0.7989,0.8989,0.8459550123689481
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.948791725,0.3905,0.8586,0.6701,0.9952,0.8009169759202547
