Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.98872928,0.0813,0.7826,0.7666,0.9989,0.8674672783913906,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.98882372,0.0744,0.7859,0.7673,0.9988,0.8678775154294774,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.95707744,0.2949,0.7744,0.7127,0.9975,0.8313860951935448,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.96037113,0.2775,0.7762,0.7165,0.9963,0.8335461816907986,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.957279855,0.3026,0.7744,0.7107,0.9958,0.8294345854087314,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.972151625,0.1813,0.7832,0.7247,0.995,0.8386073152294005,2,1,0.5,True,True,maxlogit
rosita_knn_txt,0.9474974,0.2958,0.7576,0.6702,0.9921,0.7999824580400648,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.946536695,0.3109,0.7588,0.6695,0.9917,0.7993536600048159,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.945973245,0.3267,0.7625,0.6734,0.9925,0.8023884987094063,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.9815475600000002,0.1387,0.7645,0.7376,0.9984,0.8484099539170508,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.962180035,0.2639,0.7767,0.7078,0.9944,0.8269725296674891,1,1,0.5,True,True,maxlogit
