Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.95470999,0.3021,0.7823,0.7089,0.9845,0.8242731191685366,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.955129005,0.2978,0.7833,0.7102,0.9829,0.8245887189179611,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.956649365,0.2944,0.7836,0.7166,0.9818,0.8284949128591615,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.957398645,0.2959,0.7854,0.7205,0.9808,0.8307369658496444,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.95323211,0.3065,0.779,0.7085,0.9821,0.8231608304743878,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.966558545,0.2267,0.7908,0.7414,0.9785,0.8436070701784987,2,1,0.5,True,True,maxlogit
rosita_knn_txt,0.945701135,0.3052,0.7557,0.6852,0.9785,0.8059965137945544,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.94594992,0.3088,0.7583,0.6865,0.9786,0.8069291934418353,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.950613715,0.3089,0.7652,0.6992,0.9792,0.815844423260248,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.94838903,0.2928,0.7571,0.69,0.9795,0.8096495956873315,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.95807811,0.2906,0.7825,0.7208,0.977,0.8295695606078455,1,1,0.5,True,True,maxlogit
