Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.8661931050000001,0.4173,0.7948,0.7412,0.7225,0.7317305458768874,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.8676662800000001,0.4117,0.7954,0.7437,0.7217,0.7325348573768254,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.8703425250000001,0.3985,0.7978,0.7494,0.7184,0.7335726393241586,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.87346396,0.3776,0.7984,0.753,0.7205,0.7363915846623684,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.8700071100000001,0.3997,0.7969,0.7476,0.7197,0.7333847474953997,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.87846933,0.3531,0.7996,0.7573,0.726,0.7413197599946066,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.84768636,0.5343,0.7737,0.6954,0.7534,0.7232390392048593,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.850766085,0.5081,0.773,0.6997,0.7436,0.720982359869743,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.855504255,0.4776,0.7839,0.7169,0.7325,0.7246160480198702,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.8444503250000001,0.5403,0.7718,0.6916,0.7493,0.719294718578666,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.8735930700000001,0.3794,0.7971,0.7506,0.7234,0.7367490366350068,1,1,0.5,True,True,maxlogit
