Method,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM,kp,kn,alpha,loss_pl,loss_simclr,OOD Detector
rosita_loss_txt,0.8627985050000001,0.5341,0.7996,0.7197,0.7353,0.7274163711340205,3,10,0.5,True,True,maxlogit
rosita_knn_txt,0.8641734400000001,0.5285,0.8,0.7224,0.7273,0.7248417189763399,3,7,0.5,1,1,maxlogit
rosita_knn_txt,0.86575301,0.5198,0.8017,0.7258,0.7281,0.7269481807552102,3,5,0.5,1,1,maxlogit
rosita_knn_txt,0.8673752,0.5086,0.803,0.7305,0.7215,0.7259721074380167,3,3,0.5,1,1,maxlogit
rosita_knn_txt,0.86348431,0.5294,0.8004,0.7206,0.7316,0.7260583390717532,2,3,0.5,1,1,maxlogit
rosita_knn_txt,0.86717916,0.508,0.8011,0.728,0.7175,0.7227118644067797,2,1,0.5,1,1,maxlogit
rosita_knn_txt,0.822629465,0.6784,0.7699,0.6629,0.7615,0.708787349059253,1,7,0.5,True,True,maxlogit
rosita_knn_txt,0.832097895,0.6408,0.7791,0.6823,0.7491,0.7141413022216012,1,5,0.5,True,True,maxlogit
rosita_knn_txt,0.8406737649999999,0.62,0.786,0.6836,0.754,0.7170762381747356,1,3,0.5,True,True,maxlogit
rosita_knn_txt,0.81471154,0.7001,0.76,0.6465,0.7732,0.7041963795167994,1,10,0.5,True,True,maxlogit
rosita_knn_txt,0.861676675,0.5413,0.7989,0.7178,0.738,0.7277598571232312,1,1,0.5,True,True,maxlogit
