Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.99590709,0.0136,0.7383,0.6705,0.9982,0.8021730688559957
zsclip_txt,maxlogit,0.878474255,0.9862,0.7383,0.5227,0.9954,0.6854562677030498
rosita_v2_txt,maxlogit_plthresh07,0.9711470400000002,0.189,0.7133,0.6271,0.9983,0.7703136827857758
rosita_v1_txt,maxlogit_plthresh07,0.98523558,0.1215,0.721,0.6818,0.9992,0.8105348720999405
rosita_v12_txt,maxlogit_plthresh07,0.98135686,0.1504,0.7311,0.6866,0.9989,0.8138175496885197
rosita_v12_simclr_txt,maxlogit_plthresh07,0.979647345,0.1636,0.7246,0.6788,0.9992,0.8084111561382598
rosita_v12_pl_txt,maxlogit_plthresh07,0.7334297750000001,0.9955,0.7441,0.4679,0.8818,0.6113865599762911
rosita_v11_txt,maxlogit_plthresh07,0.97930247,0.1646,0.7104,0.6577,0.9994,0.79332011345121
rosita_v10_txt,maxlogit_plthresh07,0.980637525,0.1577,0.7263,0.6799,0.999,0.8091251414616712
rosita_v10_pl_txt,maxlogit_plthresh07,0.86355611,0.9903,0.7422,0.512,0.9842,0.6735869536158268
rosita_v0_txt,maxlogit_plthresh07,0.98121918,0.153,0.7288,0.6834,0.999,0.8115984308131242
rosita_v0_analysis_txt,maxlogit_plthresh09,0.980723805,0.1573,0.7257,0.6794,0.999,0.8087709723546235
rosita_v0_analysis_txt,maxlogit_plthresh05,0.981342705,0.152,0.7293,0.6843,0.9991,0.8122658072947607
rosita_v0_analysis_txt,maxlogit_plthresh03,0.98128369,0.1519,0.7303,0.685,0.9989,0.8126925589405548
rosita_v0_analysis_txt,maxlogit_plthresh010,0.979647345,0.1636,0.7246,0.6788,0.9992,0.8084111561382598
rosita_v0_analysis_txt,maxlogit_plthresh01,0.981337265,0.1513,0.7307,0.6861,0.9989,0.8134662195845697
rosita_v0_analysis_txt,maxlogit_plthresh00,0.98135686,0.1504,0.7311,0.6866,0.9989,0.8138175496885197
ft_pl_txt,msp_plthresh07,0.99397128,0.0326,0.7437,0.6846,0.9967,0.8116824124189614
ft_pl_txt,maxlogit_plthresh07,0.8541681400000001,0.9906,0.7442,0.5038,0.9791,0.6652782790478118
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.98154362,0.1503,0.7293,0.685,0.999,0.8127256532066508
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.988773685,0.0573,0.7251,0.6589,0.9955,0.7929581117021278
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.98822291,0.092,0.7252,0.6929,0.9995,0.8184277357598675
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.991947335,0.0252,0.7507,0.6862,0.9992,0.8136359795894149
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.9892586,0.0997,0.7538,0.7316,0.9997,0.8448917229827299
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.9887419950000002,0.0566,0.7254,0.6596,0.9955,0.7934648057519182
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98804447,0.0934,0.7257,0.6933,0.9995,0.8187066989603025
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.935462575,0.3503,0.7237,0.6449,0.9387,0.7645461353877242
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.98429628,0.1072,0.7133,0.6741,0.9987,0.8049063486370158
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.966214945,0.167,0.7436,0.6819,0.9531,0.7950078165137615
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8190720899999999,0.9856,0.743,0.5014,0.9466,0.6555597237569061
