Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.98369249,0.09,0.7383,0.6597,0.9973,0.7941084007242003
zsclip_txt,maxlogit,0.8714917,0.8929,0.7383,0.5312,0.9839,0.6899183948254242
rosita_v2_txt,maxlogit_plthresh07,0.9468671649999998,0.3457,0.7143,0.5953,0.9881,0.7429783124921056
rosita_v1_txt,maxlogit_plthresh07,0.961466395,0.2577,0.7092,0.6131,0.9936,0.7582948403560091
rosita_v12_txt,maxlogit_plthresh07,0.961931985,0.2812,0.7238,0.623,0.995,0.7662360939431397
rosita_v12_simclr_txt,maxlogit_plthresh07,0.9637365,0.266,0.7026,0.6148,0.9962,0.7603522780881441
rosita_v12_pl_txt,maxlogit_plthresh07,0.8571383449999999,0.9104,0.7444,0.5118,0.982,0.6728981121970813
rosita_v11_txt,maxlogit_plthresh07,0.96076041,0.2605,0.7133,0.6107,0.9938,0.7565143783110003
rosita_v10_txt,maxlogit_plthresh07,0.9638282,0.2638,0.7168,0.6226,0.9955,0.7660815771583956
rosita_v10_pl_txt,maxlogit_plthresh07,0.865670845,0.8976,0.743,0.5238,0.981,0.6829449760765551
rosita_v0_txt,maxlogit_plthresh07,0.962563085,0.2767,0.7201,0.6219,0.9951,0.7654331354359926
rosita_v0_analysis_txt,maxlogit_plthresh09,0.9635786949999998,0.267,0.716,0.6207,0.9955,0.7646415666377924
rosita_v0_analysis_txt,maxlogit_plthresh05,0.96235489,0.2789,0.7215,0.6226,0.9951,0.7659631081164615
rosita_v0_analysis_txt,maxlogit_plthresh03,0.961725565,0.2841,0.7227,0.622,0.9951,0.7655088739100859
rosita_v0_analysis_txt,maxlogit_plthresh010,0.9637365,0.266,0.7026,0.6148,0.9962,0.7603522780881441
rosita_v0_analysis_txt,maxlogit_plthresh01,0.961932265,0.279,0.7228,0.6229,0.995,0.7661604549106866
rosita_v0_analysis_txt,maxlogit_plthresh00,0.961931985,0.2812,0.7238,0.623,0.995,0.7662360939431397
ft_pl_txt,msp_plthresh07,0.976183125,0.1383,0.7436,0.6701,0.9887,0.7988037979262117
ft_pl_txt,maxlogit_plthresh07,0.8618562249999999,0.9013,0.7439,0.5148,0.9826,0.6756277280619741
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.9636005250000002,0.2665,0.7192,0.6233,0.9952,0.7665222860673463
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.954527285,0.2684,0.7027,0.6176,0.9764,0.7566181179422836
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.981252285,0.1431,0.7095,0.6532,0.9971,0.7893179664303459
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.951250305,0.3071,0.7417,0.657,0.974,0.7846940527283874
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.98607831,0.092,0.7468,0.7,0.9974,0.8226464003770472
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.95566164,0.2608,0.7042,0.6181,0.9767,0.7570833584148482
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98089334,0.1441,0.7098,0.6518,0.997,0.7882637069383794
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.94880215,0.2962,0.7157,0.6324,0.9643,0.7638546001127324
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.964659395,0.1961,0.6911,0.631,0.9944,0.7720762889134982
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.94290745,0.2622,0.7429,0.6709,0.9303,0.7795881463902075
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.864058255,0.8846,0.7429,0.5171,0.9818,0.6774151444392555
