Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.9961027,0.0076,0.8628,0.8078,0.9974,0.8926431641923331
zsclip_txt,maxlogit,0.9307461150000002,0.7443399999999997,0.8628,0.6457,0.9976,0.7839716667680887
zsclip_txt,energy,0.8463024499999999,0.9997,0.8628,0.54,0.9988,0.7010033792565635
rosita_v2_txt,maxlogit_plthresh07,0.973441,0.2129,0.8478,0.7379,0.9973,0.8482107768556939
rosita_v1_txt,maxlogit_plthresh07,0.98031639,0.1528,0.8457,0.7657,0.9983,0.8666647505668934
rosita_v12_txt,maxlogit_plthresh07,0.981636745,0.1467,0.8529,0.784,0.9965,0.8775692221286157
rosita_v12_simclr_txt,maxlogit_plthresh07,0.98019764,0.1567,0.8523,0.7821,0.9959,0.8761455455568055
rosita_v12_pl_txt,maxlogit_plthresh07,0.92671922,0.7349,0.8661,0.6284,0.9969,0.7708754814495784
rosita_v12_debug_txt,maxlogit_plthresh07,0.981636745,0.1467,0.8529,0.784,0.9965,0.8775692221286157
rosita_v11_txt,maxlogit_plthresh07,0.98328396,0.1214,0.8486,0.7844,0.998,0.8784012567324955
rosita_v10_txt,maxlogit_plthresh07,0.981201475,0.1619,0.8474,0.7958,0.9957,0.8845973318448227
rosita_v10_pl_txt,maxlogit_plthresh07,0.928472375,0.7395,0.8642,0.6327,0.997,0.7741325397312389
rosita_v0_txt,maxlogit_plthresh07,0.981963075,0.1416,0.8525,0.7854,0.9961,0.878290137524558
rosita_v0_analysis_txt,maxlogit_plthresh09,0.981713375,0.1569,0.8485,0.7965,0.9956,0.8849901233190112
rosita_v0_analysis_txt,maxlogit_plthresh05,0.982622535,0.1348,0.8527,0.7877,0.9962,0.8797653904366836
rosita_v0_analysis_txt,maxlogit_plthresh03,0.98163705,0.1472,0.8531,0.7844,0.9965,0.8778197540569375
rosita_v0_analysis_txt,maxlogit_plthresh010,0.98019764,0.1567,0.8523,0.7821,0.9959,0.8761455455568055
rosita_v0_analysis_txt,maxlogit_plthresh01,0.981636745,0.1467,0.8529,0.784,0.9965,0.8775692221286157
rosita_v0_analysis_txt,maxlogit_plthresh00,0.981636745,0.1467,0.8529,0.784,0.9965,0.8775692221286157
ft_pl_txt,msp_plthresh07,0.995175095,0.013,0.8664,0.8123,0.996,0.894819222474147
ft_pl_txt,maxlogit_plthresh07,0.927412495,0.7342,0.8655,0.6282,0.9971,0.7707847412785331
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.981993655,0.1437,0.8528,0.7863,0.9962,0.8788915119214586
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.9635827,0.2332,0.8502,0.7782,0.9558,0.8579049134948097
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.98762017,0.1046,0.8488,0.8098,0.9989,0.8944647758058274
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.94490178,0.269,0.8115,0.6743,0.9528,0.7897154938233668
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.965210235,0.1234,0.8093,0.767,0.9963,0.8667408835705778
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.964396765,0.2236,0.8508,0.7794,0.954,0.8579065420560748
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98747417,0.1061,0.8492,0.8092,0.999,0.8941387014710763
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.98030603,0.1425,0.8412,0.777,0.9983,0.873856925590041
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.98064093,0.101,0.8646,0.8032,0.9744,0.8805558955895589
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.935388315,0.4882,0.8607,0.659,0.9885,0.7908000000000002
