Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.982116115,0.0949,0.8628,0.803,0.9647,0.8764542626011201
zsclip_txt,maxlogit,0.90606021,0.6472799999999997,0.8628,0.6456,0.9594,0.7718238504672896
zsclip_txt,energy,0.83399302,0.94875,0.8628,0.54,0.9682,0.6933138841002519
rosita_v2_txt,maxlogit_plthresh07,0.97081767,0.1667,0.8479,0.7068,0.9867,0.8236192028343667
rosita_v1_txt,maxlogit_plthresh07,0.97752338,0.1337,0.8414,0.7328,0.9916,0.8427794943168638
rosita_v12_txt,maxlogit_plthresh07,0.9714922800000002,0.1744,0.8459,0.7277,0.9852,0.8370950318173858
rosita_v12_simclr_txt,maxlogit_plthresh07,0.96989025,0.1858,0.8452,0.7289,0.9833,0.8372005256395281
rosita_v12_pl_txt,maxlogit_plthresh07,0.8956979350000001,0.6783,0.8658,0.6284,0.9503,0.756531982010515
rosita_v11_txt,maxlogit_plthresh07,0.97730998,0.1329,0.8424,0.7357,0.9911,0.8445127055825806
rosita_v10_txt,maxlogit_plthresh07,0.97104616,0.1785,0.8445,0.7259,0.9849,0.835794844517185
rosita_v10_pl_txt,maxlogit_plthresh07,0.902621845,0.65,0.8642,0.6326,0.9575,0.7618571159046601
rosita_v0_txt,maxlogit_plthresh07,0.97160363,0.1744,0.8457,0.7276,0.9848,0.8368844662462042
rosita_v0_analysis_txt,maxlogit_plthresh09,0.971438895,0.1769,0.8456,0.7277,0.9844,0.8368061211377841
rosita_v0_analysis_txt,maxlogit_plthresh05,0.971490875,0.1728,0.8458,0.7266,0.9853,0.8364028039020971
rosita_v0_analysis_txt,maxlogit_plthresh03,0.971481355,0.1729,0.8457,0.7259,0.9858,0.836118735759771
rosita_v0_analysis_txt,maxlogit_plthresh010,0.96989025,0.1858,0.8452,0.7289,0.9833,0.8372005256395281
rosita_v0_analysis_txt,maxlogit_plthresh01,0.9714922800000002,0.1744,0.8459,0.7277,0.9852,0.8370950318173858
rosita_v0_analysis_txt,maxlogit_plthresh00,0.9714922800000002,0.1744,0.8459,0.7277,0.9852,0.8370950318173858
ft_pl_txt,msp_plthresh07,0.9801102000000002,0.1073,0.8664,0.8082,0.9545,0.8752787201452317
ft_pl_txt,maxlogit_plthresh07,0.8986773749999999,0.6665,0.8654,0.6286,0.9532,0.7575945378682514
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.971799735,0.1714,0.8455,0.727,0.9853,0.8366677568183145
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.964058515,0.2299,0.8454,0.7699,0.9589,0.8540688454419251
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.980093375,0.1285,0.8404,0.7661,0.9908,0.864080915248449
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.88386513,0.6406,0.8058,0.6378,0.9344,0.7581227833608956
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.9599223899999998,0.2172,0.8021,0.7007,0.9934,0.8217642169883713
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.96425658,0.2315,0.8453,0.77,0.9598,0.8544872239565268
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.979742495,0.1316,0.8406,0.7637,0.9904,0.8624006385040762
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.96679847,0.2064,0.8467,0.7725,0.9561,0.8545496355432141
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.97875024,0.1245,0.8385,0.7413,0.9931,0.8489218519372693
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.96413339,0.2184,0.8627,0.797,0.9257,0.8565425204620654
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.905748855,0.5674,0.8611,0.6441,0.9446,0.7659304588657392
