Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.6386952699999999,0.9894,0.4842,0.2742,0.9623,0.4267895835018197
zsclip_txt,maxlogit,0.64784095,0.9800142857142856,0.4842,0.3206,0.7936,0.4567010590558248
zsclip_txt,energy,0.626845145,0.972342857142857,0.4842,0.3233,0.5736,0.4135240941019065
rosita_v2_txt,maxlogit_plthresh07,0.802811645,0.6826,0.4313,0.3287,0.9087,0.4827698238241473
rosita_v1_txt,maxlogit_plthresh07,0.85048205,0.5333,0.404,0.3353,0.883,0.4860377575309858
rosita_v12_txt,maxlogit_plthresh07,0.84897431,0.6791,0.4201,0.3431,0.9071,0.497881954887218
rosita_v12_simclr_txt,maxlogit_plthresh07,0.782338445,0.7648,0.3791,0.2871,0.9103,0.4365243527643228
rosita_v12_pl_txt,maxlogit_plthresh07,0.73337385,0.9417,0.5114,0.357,0.8442,0.5017972027972027
rosita_v11_txt,maxlogit_plthresh07,0.818832185,0.6776,0.3929,0.3159,0.9084,0.4687798088703749
rosita_v10_txt,maxlogit_plthresh07,0.84350277,0.7068,0.4171,0.3282,0.9235,0.4842896860270032
rosita_v10_pl_txt,maxlogit_plthresh07,0.73839158,0.9536,0.5109,0.3466,0.8687,0.4955013906031433
rosita_v0_txt,maxlogit_plthresh07,0.8158458799999999,0.7096,0.4147,0.3233,0.9106,0.4771812626631007
rosita_v0_analysis_txt,maxlogit_plthresh09,0.8180658050000001,0.6873,0.396,0.3093,0.9143,0.4622311049362537
rosita_v0_analysis_txt,maxlogit_plthresh05,0.85281916,0.6915,0.4183,0.3334,0.9193,0.4893344296319949
rosita_v0_analysis_txt,maxlogit_plthresh03,0.84964525,0.6876,0.4192,0.3382,0.9144,0.4937730799936133
rosita_v0_analysis_txt,maxlogit_plthresh010,0.782338445,0.7648,0.3791,0.2871,0.9103,0.4365243527643228
rosita_v0_analysis_txt,maxlogit_plthresh01,0.852125075,0.653,0.4182,0.3438,0.8933,0.4965104518632285
rosita_v0_analysis_txt,maxlogit_plthresh00,0.84897431,0.6791,0.4201,0.3431,0.9071,0.497881954887218
ft_pl_txt,msp_plthresh07,0.718129025,0.9477,0.5027,0.331,0.9365,0.4891226824457593
ft_pl_txt,maxlogit_plthresh07,0.7038860149999999,0.971,0.5033,0.3354,0.8584,0.4823376780030156
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.8248519400000001,0.6902,0.4142,0.3267,0.9099,0.4807768558951965
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.7297579300000001,0.8871,0.3545,0.234,0.9543,0.3758414541782378
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.88438375,0.5981,0.3833,0.3225,0.9437,0.4807190807139472
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.73253844,0.8889,0.3578,0.2484,0.9419,0.3931243552045703
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.9523823300000002,0.2079,0.4274,0.3909,0.9799,0.5588603880945433
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.7245267,0.8872,0.3462,0.2261,0.9578,0.3658393107525973
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.877528575,0.5955,0.3777,0.3192,0.9216,0.4741694390715668
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.7028504299999999,0.9006,0.3342,0.2202,0.9459,0.3572372523797273
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.857676965,0.4693,0.4154,0.3527,0.9012,0.5069833958050882
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.73951616,0.9199,0.509,0.3571,0.9084,0.5126663611220862
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.7652848500000001,0.922,0.5041,0.3638,0.8654,0.5122559713634884
