Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.96421231,0.2443,0.7385,0.6107,0.9982,0.7577857418111753
zsclip_txt,maxlogit,0.91061392,0.8864555555555552,0.7385,0.6082,0.9972,0.7555712470412358
zsclip_txt,energy,0.8564648249999999,0.9917142857142855,0.7385,0.5401,0.9948,0.7000996547006321
rosita_v2_txt,maxlogit_plthresh07,0.96931837,0.1995,0.7396,0.6831,0.9711,0.8020292709466813
rosita_v1_txt,maxlogit_plthresh07,0.97325293,0.1741,0.7277,0.6741,0.9773,0.7978659682693472
rosita_v12_txt,maxlogit_plthresh07,0.98193699,0.1497,0.7457,0.6971,0.9966,0.8203694396882564
rosita_v12_simclr_txt,maxlogit_plthresh07,0.978876195,0.1705,0.7347,0.6854,0.9963,0.8121115775703158
rosita_v12_pl_txt,maxlogit_plthresh07,0.93707567,0.4703,0.7749,0.6475,0.9902,0.7829938328143128
rosita_v11_txt,maxlogit_plthresh07,0.98152518,0.1075,0.7264,0.687,0.9893,0.810891964445505
rosita_v10_txt,maxlogit_plthresh07,0.98145704,0.1496,0.7445,0.7056,0.9952,0.8257444967074318
rosita_v10_pl_txt,maxlogit_plthresh07,0.92479121,0.5995,0.7651,0.6458,0.9851,0.7801552271751794
rosita_v0_txt,maxlogit_plthresh07,0.981702385,0.1499,0.7464,0.7046,0.9953,0.825093687863992
rosita_v0_analysis_txt,maxlogit_plthresh09,0.9768825250000002,0.187,0.7369,0.6867,0.9964,0.8130567167726218
rosita_v0_analysis_txt,maxlogit_plthresh05,0.98117275,0.1531,0.7445,0.6979,0.9966,0.8209231513720862
rosita_v0_analysis_txt,maxlogit_plthresh03,0.982158285,0.1459,0.7452,0.6988,0.9968,0.8216133993866479
rosita_v0_analysis_txt,maxlogit_plthresh010,0.978876195,0.1705,0.7347,0.6854,0.9963,0.8121115775703158
rosita_v0_analysis_txt,maxlogit_plthresh01,0.98193699,0.1497,0.7457,0.6971,0.9966,0.8203694396882564
rosita_v0_analysis_txt,maxlogit_plthresh00,0.98193699,0.1497,0.7457,0.6971,0.9966,0.8203694396882564
ft_pl_txt,msp_plthresh07,0.9502261,0.3452,0.7726,0.6629,0.9938,0.7953039415705923
ft_pl_txt,maxlogit_plthresh07,0.925679315,0.5828,0.7696,0.6423,0.9894,0.7789319360176502
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.982526505,0.1438,0.746,0.7042,0.9956,0.8249223673373337
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.69234947,0.8918,0.7216,0.5912,0.6064,0.5987035404141616
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.994331005,0.0357,0.7325,0.7069,0.9979,0.827563948850305
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.8744902099999999,0.7727,0.7553,0.6404,0.9414,0.7622614236945253
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.993744245,0.0532,0.7529,0.7323,0.999,0.8451079535609078
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.54531615,0.9165,0.7188,0.5847,0.4035,0.4774872495446266
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.99408168,0.0385,0.7318,0.7064,0.9979,0.8272212169219035
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.8584781100000001,0.7058,0.725,0.612,0.8798,0.7218629843142512
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.97955992,0.1231,0.7189,0.6789,0.9725,0.7996006418796173
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.610567755,0.795,0.7286,0.601,0.4642,0.5238156214795344
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.96073031,0.2595,0.7741,0.6697,0.9887,0.7985195248432224
