Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.825049345,0.7743,0.7385,0.5879,0.8608,0.6986461241112721
zsclip_txt,maxlogit,0.88700367,0.3879111111111109,0.7385,0.6758,0.7873,0.7273014011345773
zsclip_txt,energy,0.882120955,0.3988714285714285,0.7385,0.6577,0.787,0.7165638540873537
rosita_v2_txt,maxlogit_plthresh07,0.88967341,0.3847,0.7707,0.7176,0.7534,0.7350643643779741
rosita_v1_txt,maxlogit_plthresh07,0.88069413,0.4262,0.7654,0.696,0.773,0.7324819605173587
rosita_v12_txt,maxlogit_plthresh07,0.89414274,0.3727,0.767,0.7122,0.7679,0.7390019323018714
rosita_v12_simclr_txt,maxlogit_plthresh07,0.90226769,0.3505,0.751,0.7062,0.7688,0.7361716067796611
rosita_v12_pl_txt,maxlogit_plthresh07,0.8731850800000002,0.4418,0.774,0.7205,0.7351,0.7277267793349821
rosita_v11_txt,maxlogit_plthresh07,0.8789382099999999,0.4308,0.7693,0.7002,0.767,0.73207933478735
rosita_v10_txt,maxlogit_plthresh07,0.9002078400000001,0.3565,0.7599,0.7084,0.7728,0.7392000000000001
rosita_v10_pl_txt,maxlogit_plthresh07,0.884345675,0.4059,0.7675,0.7121,0.766,0.7380672484946891
rosita_v0_txt,maxlogit_plthresh07,0.897558135,0.3609,0.7614,0.7085,0.7729,0.7393001890103955
rosita_v0_analysis_txt,maxlogit_plthresh09,0.901445825,0.3558,0.7554,0.7047,0.7776,0.7393573770491803
rosita_v0_analysis_txt,maxlogit_plthresh05,0.89585263,0.3683,0.7639,0.7105,0.7715,0.7397446018893388
rosita_v0_analysis_txt,maxlogit_plthresh03,0.893626445,0.3741,0.7666,0.7109,0.7686,0.7386248597499155
rosita_v0_analysis_txt,maxlogit_plthresh010,0.90226769,0.3505,0.751,0.7062,0.7688,0.7361716067796611
rosita_v0_analysis_txt,maxlogit_plthresh01,0.89414274,0.3727,0.767,0.7122,0.7679,0.7390019323018714
rosita_v0_analysis_txt,maxlogit_plthresh00,0.89414274,0.3727,0.767,0.7122,0.7679,0.7390019323018714
ft_pl_txt,msp_plthresh07,0.845316195,0.664,0.7729,0.6523,0.833,0.7316581162054803
ft_pl_txt,maxlogit_plthresh07,0.88041658,0.4166,0.7729,0.7187,0.7581,0.737874417659805
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.8974059550000001,0.363,0.7615,0.708,0.7723,0.7387534959129906
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.8371519250000001,0.6568,0.7654,0.6603,0.7825,0.7162250485167729
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.90335146,0.3611,0.7521,0.7005,0.7884,0.74185532943784
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.8395925249999999,0.6081,0.7792,0.6853,0.7578,0.7197288337606542
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.87371817,0.4219,0.7834,0.7065,0.7794,0.7411617201695943
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.8374057500000001,0.65,0.7644,0.662,0.7818,0.7169297686660204
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.903212125,0.362,0.7537,0.7035,0.7854,0.7421974612129759
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.8389195950000001,0.6507,0.7661,0.6597,0.789,0.7185798301925864
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.893081235,0.3803,0.7668,0.7136,0.7666,0.739151141737603
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8390666100000002,0.6474,0.772,0.6705,0.7875,0.7243055555555555
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.84736809,0.5118,0.7691,0.6739,0.7375,0.7042670398186199
