Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.8242027550000001,0.7708,0.7385,0.589,0.8531,0.696866930171278
zsclip_txt,maxlogit,0.8256789600000001,0.6791999999999998,0.7385,0.6081,0.7945,0.6889140881220589
zsclip_txt,energy,0.8024358300000001,0.7151571428571427,0.7385,0.5783,0.7433,0.650499984866828
rosita_v2_txt,maxlogit_plthresh07,0.8258797050000001,0.6422,0.7705,0.6508,0.7401,0.6925833345315983
rosita_v1_txt,maxlogit_plthresh07,0.8165550349999999,0.6916,0.7618,0.6217,0.7757,0.6902142407327895
rosita_v12_txt,maxlogit_plthresh07,0.8201488649999998,0.6539,0.7702,0.6403,0.7479,0.6899299380492725
rosita_v12_simclr_txt,maxlogit_plthresh07,0.81937757,0.6544,0.7674,0.6521,0.731,0.6892995445014821
rosita_v12_pl_txt,maxlogit_plthresh07,0.8229626400000001,0.6307,0.7752,0.6655,0.7275,0.6951202440775306
rosita_v11_txt,maxlogit_plthresh07,0.81919684,0.6659,0.7635,0.6282,0.767,0.6906958142201836
rosita_v10_txt,maxlogit_plthresh07,0.817800725,0.6613,0.7665,0.6463,0.7393,0.6896789693995381
rosita_v10_pl_txt,maxlogit_plthresh07,0.819887765,0.65,0.766,0.664,0.7224,0.6919699942296595
rosita_v0_txt,maxlogit_plthresh07,0.818880465,0.6648,0.7684,0.6398,0.7516,0.6912083944228835
rosita_v0_analysis_txt,maxlogit_plthresh09,0.819559335,0.66,0.7647,0.6431,0.7503,0.6925763312760155
rosita_v0_analysis_txt,maxlogit_plthresh05,0.8205439649999999,0.6543,0.7708,0.6433,0.7473,0.6914110312095497
rosita_v0_analysis_txt,maxlogit_plthresh03,0.81968383,0.6536,0.7704,0.6403,0.7469,0.6895041378316032
rosita_v0_analysis_txt,maxlogit_plthresh010,0.81937757,0.6544,0.7674,0.6521,0.731,0.6892995445014821
rosita_v0_analysis_txt,maxlogit_plthresh01,0.8201488649999998,0.6539,0.7702,0.6403,0.7479,0.6899299380492725
rosita_v0_analysis_txt,maxlogit_plthresh00,0.8201488649999998,0.6539,0.7702,0.6403,0.7479,0.6899299380492725
ft_pl_txt,msp_plthresh07,0.8364394099999999,0.718,0.7725,0.6489,0.81,0.7205552128315855
ft_pl_txt,maxlogit_plthresh07,0.822238865,0.6421,0.7703,0.6645,0.7284,0.694984277406849
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.8192235050000001,0.6596,0.7684,0.6415,0.7497,0.6913923950546291
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.81154647,0.7576,0.7589,0.6592,0.7249,0.6904906870890831
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.8100983100000001,0.7108,0.7589,0.6256,0.7679,0.6894843774668102
ft_pl_neg_proto_bank_v3_ens_cupl,msp_plthresh07,0.8237828700000001,0.7239,0.7801,0.6817,0.7114,0.6962334075084344
ft_pl_neg_proto_bank_v3_ens_cupl,maxlogit_plthresh07,0.8352332149999999,0.6686,0.7781,0.6493,0.795,0.7148009416326246
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.8119672,0.7501,0.76,0.6588,0.7258,0.6906789542106023
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.808452175,0.7133,0.7576,0.6189,0.7742,0.6878937334003302
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.815334745,0.7431,0.7641,0.6569,0.7401,0.6960224624194703
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.8187231099999999,0.6724,0.7654,0.6306,0.7643,0.6910424833321385
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8212891449999999,0.7336,0.7717,0.6643,0.7411,0.7006015796214601
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8261892000000001,0.626,0.7698,0.6475,0.7363,0.6890508021390374
