Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.99050854,0.0426,0.7635,0.6859,0.9954,0.8121630405043716
zsclip_txt,maxlogit,0.90083867,0.8138166666666666,0.7635,0.6062,0.9829,0.7499011767667233
tpt_txt,maxlogit,0.900764935,0.8122,0.7474,0.5905,0.9836,0.7379655676259449
rosita_v2_txt,maxlogit_plthresh07,0.917650755,0.5202,0.7626,0.6165,0.9665,0.7528076437144662
rosita_v1_txt,maxlogit_plthresh07,0.91377131,0.5276,0.7549,0.608,0.9723,0.7481597165095235
rosita_v12_txt,maxlogit_plthresh07,0.982630375,0.1081,0.7417,0.7139,0.9982,0.8324455113603177
rosita_v12_simclr_txt,maxlogit_plthresh07,0.98139557,0.1174,0.7373,0.7076,0.9978,0.8280090066846488
rosita_v12_pl_txt,maxlogit_plthresh07,0.8950317350000001,0.791,0.7678,0.6019,0.9751,0.7443407609384909
rosita_v11_txt,maxlogit_plthresh07,0.912586475,0.5224,0.7603,0.6078,0.9647,0.745748375198728
rosita_v10_txt,maxlogit_plthresh07,0.98204893,0.1121,0.7399,0.7105,0.9981,0.8300948729954347
rosita_v10_pl_txt,maxlogit_plthresh07,0.895987385,0.8048,0.7664,0.6021,0.9789,0.7455985958254269
rosita_v0_txt,maxlogit_plthresh07,0.98249601,0.1098,0.7401,0.7111,0.9983,0.8305734526734526
promptalign_txt,maxlogit,0.900764935,0.8122,0.7601,0.6032,0.9836,0.7478037811948576
promptalign_aug_txt,maxlogit,0.900764935,0.8122,0.7636,0.6067,0.9836,0.7504874803496197
ft_pl_txt,msp_plthresh07,0.98636812,0.077,0.7674,0.6992,0.9925,0.8204244251344802
ft_pl_txt,maxlogit_plthresh07,0.89391569,0.8157,0.7669,0.6003,0.9773,0.743754044117647
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.98261582,0.1081,0.7396,0.7118,0.9982,0.8310160935672514
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.98569554,0.0689,0.7248,0.6498,0.9984,0.7872349472151439
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.98676099,0.074,0.7314,0.7146,0.999,0.8331995798319328
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.98588222,0.0677,0.7249,0.6507,0.9983,0.7878639296543358
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.986730695,0.0746,0.7313,0.7143,0.999,0.8329956224829278
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.9741308,0.1546,0.7644,0.6966,0.9835,0.815553955121719
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.859331785,0.927,0.7659,0.5608,0.9676,0.7100629154671553
