Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.98921253,0.0532,0.7635,0.6846,0.9981,0.8121462649313602
zsclip_txt,maxlogit,0.92617467,0.666,0.7635,0.6102,0.9924,0.7557250467989517
tpt_txt,maxlogit,0.92619489,0.663,0.7477,0.5943,0.9925,0.7434367910259642
rosita_v2_txt,maxlogit_plthresh07,0.952283525,0.3428,0.748,0.6415,0.9962,0.7804387861024608
rosita_v1_txt,maxlogit_plthresh07,0.95442243,0.2983,0.7358,0.6404,0.9962,0.7796241965049493
rosita_v12_txt,maxlogit_plthresh07,0.950693855,0.3627,0.7531,0.6405,0.9948,0.7792691249312053
rosita_v12_simclr_txt,maxlogit_plthresh07,0.953281545,0.3544,0.7382,0.6341,0.9959,0.7748468588957056
rosita_v12_pl_txt,maxlogit_plthresh07,0.91790859,0.7202,0.7676,0.6052,0.9897,0.7511021882249671
rosita_v11_txt,maxlogit_plthresh07,0.95507962,0.2946,0.7389,0.6446,0.9965,0.7828211565413442
rosita_v10_txt,maxlogit_plthresh07,0.951118495,0.3654,0.7476,0.6368,0.9956,0.7767680470472923
rosita_v10_pl_txt,maxlogit_plthresh07,0.921510445,0.6934,0.7661,0.6056,0.9908,0.7517269857178653
rosita_v0_txt,maxlogit_plthresh07,0.950580355,0.3614,0.7516,0.6377,0.9953,0.7773457562767913
promptalign_txt,maxlogit,0.92619489,0.663,0.7608,0.6074,0.9925,0.7536027251703232
promptalign_aug_txt,maxlogit,0.92619489,0.663,0.7636,0.6102,0.9925,0.7557540400574031
ft_pl_txt,msp_plthresh07,0.9891855699999998,0.0572,0.7674,0.6985,0.9964,0.8212701634314709
ft_pl_txt,maxlogit_plthresh07,0.919037125,0.7143,0.7672,0.6042,0.99,0.7504177643959353
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.95089107,0.3637,0.7508,0.6377,0.9956,0.7774372374946428
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.9508143249999998,0.2752,0.7349,0.6556,0.9631,0.7801425341323283
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.9605520900000002,0.2518,0.7362,0.6597,0.9969,0.7939815646504889
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.946092755,0.311,0.7336,0.6506,0.9611,0.7759405100204753
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.96018788,0.255,0.737,0.6579,0.9965,0.7925499879110252
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.98231376,0.0987,0.766,0.7001,0.9885,0.819671739902878
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.905145355,0.7403,0.7661,0.5788,0.9888,0.730183005868844
