Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.978261145,0.095,0.8557,0.7888,0.9837,0.875534623413258
zsclip_txt,maxlogit,0.93561328,0.5321999999999997,0.8557,0.6735,0.9937,0.8028514275431862
zsclip_txt,energy,0.8937558250000001,0.973775,0.8557,0.5754,0.9984,0.7300538314906596
tpt_txt,maxlogit,0.935534805,0.5339,0.8473,0.6647,0.9939,0.7966300856143735
rosita_v2_txt,maxlogit_plthresh07,0.980548355,0.1594,0.8495,0.8096,0.9988,0.8943026763990267
rosita_v1_txt,maxlogit_plthresh07,0.985237765,0.1161,0.8453,0.811,0.9992,0.8953167605789416
rosita_v12_txt,maxlogit_plthresh07,0.98691937,0.1074,0.8496,0.8188,0.9991,0.9000088893778536
rosita_v12_simclr_txt,maxlogit_plthresh07,0.9862225,0.1134,0.8461,0.8148,0.9991,0.8975871657754011
rosita_v12_pl_txt,maxlogit_plthresh07,0.950452985,0.3322,0.8595,0.6758,0.9955,0.8050725782325135
rosita_v11_txt,maxlogit_plthresh07,0.98537862,0.116,0.8457,0.8113,0.9992,0.8954995415631042
rosita_v10_txt,maxlogit_plthresh07,0.987002375,0.1082,0.8475,0.8175,0.9993,0.8993039960369881
rosita_v10_pl_txt,maxlogit_plthresh07,0.942847985,0.4286,0.8581,0.6657,0.9952,0.7977658377987839
rosita_v0_txt,maxlogit_plthresh07,0.986786065,0.109,0.8491,0.818,0.9991,0.8995253976115789
rosita_v0_txt,maxlogit_plthresh00,0.98691937,0.1074,0.8496,0.8188,0.9991,0.9000088893778536
promptalign_txt,maxlogit,0.935534805,0.5339,0.8553,0.6727,0.9939,0.8023479299171967
promptalign_aug_txt,maxlogit,0.935534805,0.5339,0.8558,0.6732,0.9939,0.8027034730969947
ft_pl_txt,msp_plthresh07,0.976132255,0.1117,0.86,0.7985,0.9729,0.8771148808851755
ft_pl_txt,maxlogit_plthresh07,0.948500735,0.3558,0.8595,0.6725,0.9953,0.8026612903225806
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.986830055,0.1082,0.8485,0.8184,0.999,0.8997266424562561
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.9641968,0.237,0.8483,0.7841,0.973,0.868395993398213
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.9890952,0.0795,0.8442,0.8195,0.9996,0.9006345995272387
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.96462524,0.2277,0.8484,0.7856,0.9706,0.8683559503473408
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.98903167,0.0807,0.8441,0.8197,0.9995,0.9007147647317503
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.955012395,0.255,0.8583,0.7989,0.8989,0.8459550123689481
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.948791725,0.3905,0.8586,0.6701,0.9952,0.8009169759202547
