Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.7305772049999999,0.9703,0.5023,0.3393,0.9464,0.4995154701718907
zsclip_txt,maxlogit,0.871866495,0.6577043478260868,0.5023,0.3883,0.9425,0.5500041328524196
zsclip_txt,energy,0.88825534,0.695874193548387,0.5023,0.3163,0.9746,0.4775985436517159
tpt_txt,maxlogit,0.8716208400000001,0.6569,0.4694,0.3552,0.9431,0.5160427019949164
rosita_v2_txt,maxlogit_plthresh07,0.88388879,0.4534,0.4725,0.4105,0.9806,0.5787309323556897
rosita_v1_txt,maxlogit_plthresh07,0.929888165,0.2584,0.4528,0.4134,0.9883,0.5829538703003495
rosita_v12_txt,maxlogit_plthresh07,0.95358028,0.1866,0.4814,0.4548,0.9888,0.6230344139650873
rosita_v12_simclr_txt,maxlogit_plthresh07,0.92367929,0.2959,0.457,0.4194,0.9854,0.5883780751708428
rosita_v12_pl_txt,maxlogit_plthresh07,0.905612405,0.543,0.517,0.4068,0.9611,0.5716433657431099
rosita_v11_txt,maxlogit_plthresh07,0.942010125,0.2311,0.4695,0.4327,0.9892,0.6020491455095295
rosita_v10_txt,maxlogit_plthresh07,0.947989395,0.2034,0.4756,0.4469,0.9887,0.6155614795207579
rosita_v10_pl_txt,maxlogit_plthresh07,0.89596707,0.5906,0.5129,0.4034,0.9601,0.5681031756508984
rosita_v0_txt,maxlogit_plthresh07,0.93515665,0.2514,0.4694,0.4329,0.9873,0.6018901140684411
promptalign_txt,maxlogit,0.8716208400000001,0.6569,0.477,0.3628,0.9431,0.5240166628378896
promptalign_aug_txt,maxlogit,0.8716208400000001,0.6569,0.5022,0.388,0.9431,0.5498051235819998
ft_pl_txt,msp_plthresh07,0.6942661299999999,0.9621,0.5067,0.3691,0.8458,0.5139267100172853
ft_pl_txt,maxlogit_plthresh07,0.8962597849999999,0.5711,0.507,0.397,0.9581,0.5613839569035495
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.93629361,0.249,0.4691,0.4324,0.9873,0.6014066633795873
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.814784065,0.8163,0.4125,0.3057,0.9626,0.4640334621146417
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.90773578,0.3811,0.3827,0.3429,0.9745,0.5072962653711856
ft_pl_neg_proto_bank_v3_debug_txt,maxlogit_plthresh07,0.928939055,0.4155,0.5058,0.4267,0.9578,0.5903839075478512
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.81636248,0.8069,0.4118,0.3046,0.9629,0.4627997475345167
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.9313711849999998,0.2921,0.4135,0.3761,0.9746,0.5427512549048641
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.738175575,0.9322,0.3311,0.2288,0.964,0.3698242790073776
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.691416095,0.9335,0.5138,0.388,0.7804,0.5183074289626839
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.92193007,0.454,0.515,0.4281,0.9572,0.5916080560167473
