Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.814051795,0.7728,0.5023,0.35,0.9552,0.5122893043211768
zsclip_txt,maxlogit,0.941122945,0.3349173913043476,0.5023,0.3954,0.9871,0.5646283399638337
zsclip_txt,energy,0.9302578700000002,0.4882516129032257,0.5023,0.3861,0.9854,0.5548128909952607
tpt_txt,maxlogit,0.941031545,0.3341,0.4689,0.3612,0.9872,0.528888519727084
rosita_v2_txt,maxlogit_plthresh07,0.925598765,0.3342,0.4496,0.3984,0.9845,0.5672496926748137
rosita_v1_txt,maxlogit_plthresh07,0.91627769,0.2971,0.4082,0.3716,0.9768,0.5383845743102936
rosita_v12_txt,maxlogit_plthresh07,0.939487715,0.3075,0.4612,0.4063,0.9812,0.5746472936936937
rosita_v12_simclr_txt,maxlogit_plthresh07,0.964958895,0.2018,0.4478,0.4077,0.99,0.5775531229877656
rosita_v12_pl_txt,maxlogit_plthresh07,0.928397455,0.4641,0.5154,0.4069,0.982,0.5753845489236086
rosita_v11_txt,maxlogit_plthresh07,0.932144375,0.2846,0.4464,0.3989,0.9858,0.5679722972485015
rosita_v10_txt,maxlogit_plthresh07,0.943488085,0.2903,0.4537,0.4039,0.983,0.5725484173336217
rosita_v10_pl_txt,maxlogit_plthresh07,0.934087175,0.4205,0.5127,0.405,0.9854,0.5740607019562716
rosita_v0_txt,maxlogit_plthresh07,0.94124325,0.2939,0.4495,0.3993,0.9832,0.5679446799276673
promptalign_txt,maxlogit,0.941031545,0.3341,0.4769,0.3692,0.9872,0.5374140961368328
promptalign_aug_txt,maxlogit,0.941031545,0.3341,0.5022,0.3945,0.9872,0.5637264239704712
ft_pl_txt,msp_plthresh07,0.834287585,0.7044,0.5099,0.3853,0.9339,0.5455301243177683
ft_pl_txt,maxlogit_plthresh07,0.93262539,0.4231,0.5097,0.4032,0.9835,0.5719293286219082
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.94350411,0.2814,0.4476,0.3985,0.9837,0.5672181305165678
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.7841119749999999,0.8453,0.3684,0.2556,0.9676,0.4043795945062132
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.95719482,0.18,0.4217,0.3878,0.9918,0.5575819657871847
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.781968305,0.8432,0.363,0.2533,0.9653,0.4012973740357787
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.95701249,0.1822,0.422,0.3879,0.9915,0.5576378860374077
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8402762699999999,0.6827,0.5151,0.4028,0.9231,0.5608638358850592
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.91320391,0.5716,0.5166,0.4049,0.9702,0.5713533270307614
