Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.8441070049999999,0.6259,0.7856,0.658,0.8161,0.7285717386880132
zsclip_txt,maxlogit,0.8781404100000001,0.3560999999999999,0.7856,0.731,0.7456,0.7382278206691048
zsclip_txt,energy,0.8720104,0.3522199999999999,0.7856,0.7098,0.7618,0.7348812720848057
tpt_txt,maxlogit,0.878172685,0.3566,0.7583,0.703,0.7471,0.72437942210882
rosita_v2_txt,maxlogit_plthresh07,0.875750855,0.3702,0.8031,0.7576,0.7242,0.7405235794304225
rosita_v1_txt,maxlogit_plthresh07,0.8624961550000001,0.4387,0.7974,0.7396,0.7285,0.7340080375996185
rosita_v12_txt,maxlogit_plthresh07,0.8677387500000001,0.4037,0.7994,0.7498,0.7173,0.7331900211301207
rosita_v12_simclr_txt,maxlogit_plthresh07,0.865415355,0.4192,0.7908,0.7362,0.724,0.7300490343788522
rosita_v12_pl_txt,maxlogit_plthresh07,0.88325287,0.3272,0.8117,0.7684,0.7281,0.7477073705312395
rosita_v11_txt,maxlogit_plthresh07,0.8624457449999999,0.4396,0.8016,0.7436,0.7264,0.7348993741496598
rosita_v10_txt,maxlogit_plthresh07,0.8661931050000001,0.4173,0.7948,0.7412,0.7225,0.7317305458768874
rosita_v10_pl_txt,maxlogit_plthresh07,0.88403259,0.3289,0.8018,0.756,0.7403,0.7480676334959567
rosita_v0_txt,maxlogit_plthresh07,0.868354145,0.4047,0.7984,0.7471,0.7213,0.7339733451375648
promptalign_txt,maxlogit,0.878172685,0.3566,0.7752,0.7199,0.7471,0.733247839127471
promptalign_aug_txt,maxlogit,0.878172685,0.3566,0.7856,0.7303,0.7471,0.7386044808447272
ft_pl_txt,msp_plthresh07,0.8509621500000001,0.55,0.8095,0.7077,0.7698,0.7374449543147208
ft_pl_txt,maxlogit_plthresh07,0.88260293,0.3335,0.8075,0.763,0.7349,0.7486864276653982
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.868145525,0.4059,0.7982,0.7462,0.7215,0.7336421612046059
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.8366578200000001,0.5865,0.7968,0.7087,0.723,0.715778584899071
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.853516815,0.4664,0.7982,0.7305,0.7202,0.7253134348934998
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.8365654849999999,0.5867,0.7974,0.7083,0.726,0.7170407864463503
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.8535629899999999,0.4671,0.7978,0.7308,0.7202,0.7254612818745692
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.838667805,0.593,0.8015,0.712,0.7314,0.7215696272689484
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.865410685,0.4222,0.7984,0.7435,0.7263,0.734799360457205
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.8372720499999999,0.5957,0.803,0.7136,0.7264,0.7199431111111111
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.86306637,0.4061,0.7948,0.7402,0.7051,0.7222237874489724
