Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.8392991200000001,0.71,0.7856,0.653,0.8106,0.7233148401202515
zsclip_txt,maxlogit,0.8614456399999999,0.5208249999999998,0.7856,0.6799,0.7597,0.7175882606279522
zsclip_txt,energy,0.8492597749999999,0.5235999999999997,0.7856,0.7058,0.681,0.6931782520911451
tpt_txt,maxlogit,0.8614579250000001,0.5214,0.7607,0.6548,0.7587,0.702931390166254
rosita_v2_txt,maxlogit_plthresh07,0.8701649200000001,0.5032,0.8058,0.7365,0.7217,0.7290248937045672
rosita_v1_txt,maxlogit_plthresh07,0.84627234,0.5949,0.8039,0.7104,0.746,0.7277648997528152
rosita_v12_txt,maxlogit_plthresh07,0.8681634949999999,0.5107,0.8044,0.729,0.7335,0.7312430769230769
rosita_v12_simclr_txt,maxlogit_plthresh07,0.857244865,0.5519,0.795,0.7143,0.7258,0.7200040830497881
rosita_v12_pl_txt,maxlogit_plthresh07,0.8739445699999999,0.4694,0.8095,0.7397,0.7106,0.7248580569537338
rosita_v11_txt,maxlogit_plthresh07,0.846697505,0.592,0.8055,0.7156,0.7394,0.7273053470790377
rosita_v10_txt,maxlogit_plthresh07,0.8627985050000001,0.5341,0.7996,0.7197,0.7353,0.7274163711340205
rosita_v10_pl_txt,maxlogit_plthresh07,0.8712923099999998,0.4699,0.8021,0.7355,0.7017,0.7182025466184246
rosita_v0_txt,maxlogit_plthresh07,0.8666863799999999,0.5197,0.8022,0.7244,0.7384,0.7313330051955154
promptalign_txt,maxlogit,0.8614579250000001,0.5214,0.7758,0.6699,0.7587,0.7115401511969761
promptalign_aug_txt,maxlogit,0.8614579250000001,0.5214,0.7855,0.6796,0.7587,0.7169749287353125
ft_pl_txt,msp_plthresh07,0.84178465,0.6765,0.8082,0.6985,0.7414,0.7193109243697479
ft_pl_txt,maxlogit_plthresh07,0.872031115,0.4776,0.8067,0.7339,0.7179,0.7258118335858934
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.8663443000000001,0.5207,0.8018,0.723,0.7394,0.7311080415754923
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.83099272,0.7114,0.8001,0.707,0.6965,0.7017107231920199
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.8433661299999999,0.6089,0.7985,0.6984,0.7609,0.7283116014527513
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.83160129,0.7064,0.8018,0.7069,0.6951,0.7009503423680457
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.844079535,0.6047,0.8,0.7016,0.7545,0.7270890735526406
ft_pl_neg_proto_bank_v1_txt,msp_plthresh07,0.833250725,0.7015,0.8059,0.711,0.6971,0.7039813933669483
ft_pl_neg_proto_bank_v1_txt,maxlogit_plthresh07,0.8486197949999998,0.5816,0.8064,0.7191,0.7373,0.7280862812414172
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.83209361,0.7097,0.8042,0.7112,0.6913,0.7011088199643495
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.8678252200000001,0.5025,0.8025,0.7251,0.7227,0.7238980107749688
